date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:37	2533/2533	---MCZ	200	added ('OK')	text/xml	date:Wed,%2018%20Oct%202017%2016:50:36%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Fabout-the-ardens%2Fgeorgism-geoism-or-single-tax-theory-the-origins-of-arden%2F&format=xml	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embed1fc0	(from http://sites.udel.edu/arden-map/about-the-ardens/georgism-geoism-or-single-tax-theory-the-origins-of-arden/)
12:50:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Oct%202017%2016:50:38%20GMT	http://sites.udel.edu/arden-map/?p=820	/home/trescube/arden/sites.udel.edu/arden-map/indexccf0.html	(from http://sites.udel.edu/arden-map/about-the-ardens/georgism-geoism-or-single-tax-theory-the-origins-of-arden/)
12:50:40	11289/11289	---M--	200	added ('OK')	image/jpeg	etag:%22549a866ffbf08a4372df901d8ce84c6b%22	https://sites.udel.edu/arden-map/files/2017/09/412px-Henry_George_c1885-2i31khs-206x300.jpg	/home/trescube/arden/sites.udel.edu/arden-map/files/2017/09/412px-Henry_George_c1885-2i31khs-206x300.jpg	(from http://sites.udel.edu/arden-map/about-the-ardens/georgism-geoism-or-single-tax-theory-the-origins-of-arden/)
12:50:42	144756/144756	---M--	200	added ('OK')	image/jpeg	etag:%2258476604bdd673172e27479db8f27829%22	https://sites.udel.edu/arden-map/files/2017/09/henrygeorge_whowashe2-107oyl9.jpg	/home/trescube/arden/sites.udel.edu/arden-map/files/2017/09/henrygeorge_whowashe2-107oyl9.jpg	(from http://sites.udel.edu/arden-map/about-the-ardens/)
12:50:43	2383/2383	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Oct%202017%2016:50:42%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Fabout-the-ardens%2Fearly-arden%2F	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embedba38.json	(from http://sites.udel.edu/arden-map/about-the-ardens/early-arden/)
12:50:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Oct%202017%2016:50:42%20GMT	http://sites.udel.edu/arden-map/?p=823	/home/trescube/arden/sites.udel.edu/arden-map/index3239.html	(from http://sites.udel.edu/arden-map/about-the-ardens/early-arden/)
12:50:44	2474/2474	---MCZ	200	added ('OK')	text/xml	date:Wed,%2018%20Oct%202017%2016:50:44%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Fabout-the-ardens%2Fearly-arden%2F&format=xml	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embedc690	(from http://sites.udel.edu/arden-map/about-the-ardens/early-arden/)
12:50:45	48165/48165	---M--	200	added ('OK')	image/jpeg	etag:%228e29a694f833452ea527c2501dae8ab7%22	https://sites.udel.edu/arden-map/files/2017/10/doverjail-1p41mue.jpg	/home/trescube/arden/sites.udel.edu/arden-map/files/2017/10/doverjail-1p41mue.jpg	(from http://sites.udel.edu/arden-map/about-the-ardens/georgism-geoism-or-single-tax-theory-the-origins-of-arden/)
12:50:46	2333/2333	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Oct%202017%2016:50:46%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Fabout-the-ardens%2Farden-expands%2F	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embed903b.json	(from http://sites.udel.edu/arden-map/about-the-ardens/arden-expands/)
12:50:47	20241/20241	---M--	200	added ('OK')	image/jpeg	etag:%226a78c4ac5c49ed1c7567d7f665f4adb3%22	https://sites.udel.edu/arden-map/files/2017/10/frankand-eleanor-yokx9f.jpg	/home/trescube/arden/sites.udel.edu/arden-map/files/2017/10/frankand-eleanor-yokx9f.jpg	(from http://sites.udel.edu/arden-map/about-the-ardens/early-arden/)
12:50:48	2424/2424	---MCZ	200	added ('OK')	text/xml	date:Wed,%2018%20Oct%202017%2016:50:47%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Fabout-the-ardens%2Farden-expands%2F&format=xml	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embed51f8	(from http://sites.udel.edu/arden-map/about-the-ardens/arden-expands/)
12:50:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Oct%202017%2016:50:48%20GMT	http://sites.udel.edu/arden-map/?p=794	/home/trescube/arden/sites.udel.edu/arden-map/index3b2d.html	(from http://sites.udel.edu/arden-map/architecture-in-the-ardens/)
12:50:48	2362/2362	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Oct%202017%2016:50:48%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Farchitecture-in-the-ardens%2F	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embed189b.json	(from http://sites.udel.edu/arden-map/architecture-in-the-ardens/)
12:50:49	2455/2455	---MCZ	200	added ('OK')	text/xml	date:Wed,%2018%20Oct%202017%2016:50:49%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Farchitecture-in-the-ardens%2F&format=xml	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embedf970	(from http://sites.udel.edu/arden-map/architecture-in-the-ardens/)
12:50:52	18364/18364	---M--	200	added ('OK')	image/jpeg	etag:%22364f8f8bf160e1a261f6faf177dbbc6d%22	https://sites.udel.edu/arden-map/files/2017/09/Original-Homestead-1900-2fqecnu-300x207.jpg	/home/trescube/arden/sites.udel.edu/arden-map/files/2017/09/Original-Homestead-1900-2fqecnu-300x207.jpg	(from http://sites.udel.edu/arden-map/architecture-in-the-ardens/)
